"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Dzordzormenyoh, M.K.; Perkins, D.","Dzordzormenyoh, Michael Kwame (57226321392); Perkins, Deion (57281045800)","57226321392; 57281045800","Immigration in the United States: Exploring the Factors that Predict Public Support for Police Stops Targeted at Illegal Immigrants & Immigrants with Criminal Background","2022","Journal of International Migration and Integration","23","3","","1545","1566","8","10.1007/s12134-021-00904-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116092891&doi=10.1007%2Fs12134-021-00904-3&partnerID=40&md5=2e2cc4ba3818fec0659793eddad99af1","Springer Science and Business Media B.V.","Article","Final","","Scopus","2-s2.0-85116092891"
"Heise, M.","Heise, Michael (7007179203)","7007179203","‘Driving while black’ (or female) as a function of policing while white (or male)","2022","Criminal Justice Studies","35","4","","423","441","1","10.1080/1478601X.2022.2116791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137121087&doi=10.1080%2F1478601X.2022.2116791&partnerID=40&md5=f2715cb93afedb76371ed9647294b51e","Routledge","Article","Final","","Scopus","2-s2.0-85137121087"
"Bates, L.; Anderson, L.; Rodwell, D.; Blais, E.","Bates, Lyndel Judith (35955644000); Anderson, Levi (57210999104); Rodwell, David (57200656743); Blais, Étienne (8647436300)","35955644000; 57210999104; 57200656743; 8647436300","A qualitative study of young drivers and deterrence based road policing","2020","Transportation Research Part F: Traffic Psychology and Behaviour","71","","","110","118","25","10.1016/j.trf.2020.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083522138&doi=10.1016%2Fj.trf.2020.04.003&partnerID=40&md5=a5739852509e31c407e68fb8fbe6cd0d","Elsevier Ltd","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85083522138"
